CUSTOMER_ID,PACK_ID
CD1F7B49575998,-1
CD1F7B86F083B7,-1
CD1F7C8C57DA02,297
CD1F7DA21C1ED4,-1
CD1F7EBFC7032A,-1
CD1F8477433C69,-1
CD1F84C0D5A71B,-1
CD1F8697296FBD,1108
CD1F8D0B4DF1DB,-1
CD1F926848C9D6,-1
CD1F938025ADC1,70
CD1F93A6E0AF26,-1
CD1F98DAF8890E,-1
CD1FA55E907C1E,-1
CD1FC284BD1AC2,-1
CD1FC4605F821D,1108
CD1FCA28BCF8BB,-1
CD1FCC75E905E5,-1
CD1FF28802B0D0,1403
CD1FFD525E1B5A,-1
CD200F60B0DAB2,-1
CD20111CB48B01,1921
CD20173BC37F63,782
CD20EEE2839FA7,-1
CD20F2EFF10A38,-1
CD20F748CD167F,796
CD20FBC0594634,-1
CD2100D4875790,-1
CD2104108B289D,-1
CD210C3A75CE9E,-1
CD210F9A8F9B3C,-1
CD2110093A49B5,-1
CD21151783B75F,-1
CD211618A07990,-1
CD211636FE9FE1,-1
CD2118824A5B12,-1
CD211BA5DAFEFA,-1
CD2120ECB51C64,-1
CD2122C21F0280,-1
CD212631226313,-1
CD212634280F6F,-1
CD212CD37376D0,-1
CD213128E74FC3,-1
CD2136F013CF49,-1
CD213BF82930BE,-1
CD21426E63F969,-1
CD2147D3D7D308,-1
CD214EC35DD062,-1
CD2153FAB98124,-1
CD2155626DA1DF,475
CD21574F446FFC,-1
CD215A360EB0E8,-1
CD215F6790E291,-1
CD216252048E05,-1
CD2164151D7F09,787
CD2168DE0F5E71,-1
CD216AF3998B87,-1
CD216B47E82AE3,-1
CD216F31499236,-1
CD21790103795D,-1
CD217A4210E36E,-1
CD217BFA138AC8,-1
CD21819E9A0284,-1
CD21828EC2E0FD,-1
CD218388AB4D3A,-1
CD1F77E5113BEE,-1
CD1F79EA17114D,-1
CD1F7AC73769E3,-1
CD1F7AF5802212,-1
CD1F7B4CEC5B5E,844
CD1F7B894B2C35,-1
CD1F7ED57452D3,-1
CD1F84BEBC71DF,-1
CD1F87F632B535,-1
CD1F8846196DA1,-1
CD1F898BA8C8B4,-1
CD1F8A029F8C58,1446
CD1F8B202A6B37,-1
CD1F8D118492AA,-1
CD1F8E9C5E94FD,-1
CD1F8EEDB342B9,1581
CD1F9434047E3A,1060
CD1F9814D74EE1,-1
CD1F9827F23F0F,-1
CD1F98E3596110,-1
CD1F98E7B98A32,-1
CD1FA80A456702,532
CD1FA9A6E10903,-1
CD1FA9FBE8BF85,-1
CD1FAC980D87A0,-1
CD1FBCCEF4FB2D,-1
CD1FC5DD785794,-1
CD1FCC0C6B6A53,1060
CD1FCCF63A59C2,1060
CD20024C0A1CBD,-1
CD200E5893F4B8,70
CD200F1684E635,-1
CD2017603750D4,-1
CD2041109708C6,307
CD20EE300384F0,-1
CD20EE46863056,-1
CD20F15E50F3A5,-1
CD20F3EBACFF73,-1
CD20F3EDD772B4,-1
CD20F4F5AACD89,-1
CD20F549696351,-1
CD20F575EC87C3,-1
CD20F5CDD8F4F2,-1
CD20F7A57782B0,-1
CD20F8C8BC534D,-1
CD20FC0CC0AFE9,-1
CD20FE79B950D0,-1
CD20FEE059B775,-1
CD21036049CBE2,-1
CD2106A06C16C1,517
CD210D01D1F836,-1
CD210D578EE6F7,-1
CD21112F260096,-1
CD2111F302635B,-1
CD2112C49BF60E,-1
CD21140DE2ECF8,-1
CD211684DD2508,-1
CD211806453FB1,-1
CD2119C43A7FFE,-1
CD211A992EE6E7,1619
CD211CA3C99D60,-1
CD211E735C3EE8,370
CD211E9FDF9F68,-1
CD211EAEFB8518,-1
CD211F1B142E2B,-1
CD2121E3E01D1D,190
CD21241FB673C1,-1
CD21293A9BEFF2,-1
CD213927204E28,1619
CD2139F496F1FF,-1
CD213C84EAD2EF,401
CD213D0454F6E7,1643
CD213D33ED0743,-1
CD213DBB8D6F50,-1
CD213E09194330,-1
CD2140B1BA145B,-1
CD21443B629714,1619
CD2147B9E9E798,-1
CD214998F9C982,-1
CD214D7DCCB2E6,-1
CD214E31EF6D34,-1
CD214E975F18CF,1619
CD214FDA52B237,-1
CD2152599E28A6,-1
CD2152E3BE2BCE,-1
CD2154A4994F0E,-1
CD215563996FC3,-1
CD21556E7A5AFC,-1
CD2156B04334BF,-1
CD2156EDC8E654,-1
CD21578373CA54,-1
CD2159A3C5E6D0,-1
CD215A00544A78,-1
CD215A1FC7F57B,-1
CD215A7710FE93,-1
CD215BC482DE35,-1
CD215E79CCE0F7,-1
CD2160C645784B,-1
CD21617FACF706,-1
CD216469EFB913,-1
CD2164CFDC4FCD,-1
CD2165C7A2D8C8,-1
CD216602E4C134,-1
CD21669E7827CD,-1
CD2168F57E08DB,-1
CD216AC24AAEE0,-1
CD216B3E80779A,-1
CD216C066835BC,-1
CD216CD888ABE1,-1
CD2170FD5725B0,-1
CD2170FF8E25DE,-1
CD217192602BF4,-1
CD2175DB26B85B,-1
CD2179137365AD,1619
CD21796277DB5A,-1
CD217BB57116BE,-1
CD217C293EFDD2,517
CD217E36F8D496,-1
CD217E6A977130,-1
CD2181B17F3A2C,-1
CD21846402E756,-1
CD218564984DF9,658
CD1F7B737ACA5F,532
CD1F7DA70B073D,-1
CD1F7EC3B38556,-1
CD1F7F42A67D86,-1
CD1F861B9B8024,-1
CD1F86F0914F61,-1
CD1F86F1CC98E1,-1
CD1F884FE1314F,-1
CD1F8B2780890B,-1
CD1F8CEBD80C53,-1
CD1F8D06F4964F,-1
CD1F924AB89B89,-1
CD1F925E4C5BE1,532
CD1F9323048DE4,-1
CD1F9389565E37,1446
CD1F942A258122,-1
CD1F9457BBB3B3,-1
CD1F94F9605062,-1
CD1F95A54AE62B,-1
CD1F98AC43ABA9,-1
CD1F98ED793B47,1060
CD1F993B171F5D,-1
CD1F9E9DA2275A,-1
CD1FA792668341,-1
CD1FA88DCF6D20,174
CD1FB18987B9F8,1581
CD1FB3ADA1A211,-1
CD1FBAB62F6935,-1
CD1FBEBBC6FA2B,-1
CD1FC2EEABC8B0,-1
CD1FC5DBC004EE,-1
CD1FC6A87579BC,1526
CD1FC974541A13,-1
CD1FCAE8898B19,-1
CD1FCD0CB0F057,-1
CD201731C4B8E2,-1
CD20EE4BE6DF45,-1
CD20EE9F2B3C8F,-1
CD20EEEA626356,1619
CD20EFC86FC92F,-1
CD20F0C7BEC1B9,-1
CD20F2EDA835E2,-1
CD20F2F064ED3C,787
CD20F342918B4F,517
CD20F3F4E1ACD7,-1
CD20F448865694,-1
CD20F78A892F7A,-1
CD20F846177E9D,-1
CD20FAB3255A77,-1
CD20FB8C17F9AD,-1
CD20FE143DEA79,-1
CD21029020E120,-1
CD2105711CE593,-1
CD210673B48416,-1
CD21067C6596CC,-1
CD2108B91AC964,-1
CD210A950625C1,-1
CD210DE6E92016,1619
CD210E25AF445F,-1
CD21112339E313,-1
CD21185BDCC3B9,-1
CD211D5EB60EC7,-1
CD211D9DE52D89,165
CD211EAB59F665,-1
